"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"K.J. Osborn","WR","WAS","7","212","30","45","0","8","3","8","11.7","5.5"
"Kyle Juszczyk","RB","SF","16","505","32","50","1","6","4","7","27.7","5.5"
"Lucas Krull","TE","DEN","12","277","23","36","0","8","7","8","15.2","5.5"
"Harrison Bryant","TE","LV","6","160","27","41","0","8","6","8","8.6","5.4"
"Cade Stover","TE","HOU","14","364","26","39","0","6","4","6","19.3","5.3"
"Robert Woods","WR","HOU","13","312","24","37","0","9","6","9","16.4","5.3"
"Joshua Palmer","WR","LAC","4","184","46","70","0","10","5","10","9.5","5.2"
"Tommy Tremble","TE","CAR","11","479","44","70","0","6","4","6","24.4","5.1"
"Simi Fehoko","WR","LAC","6","207","35","56","0","8","3","8","10.6","5.1"
"Kevin Austin Jr.","WR","NO","7","287","41","68","0","7","4","8","14.7","5.1"
"Eric Saubert","TE","SF","12","281","23","37","0","3","2","3","14.0","5.0"
"Grant DuBose","WR","MIA","1","26","26","34","0","12","4","12","1.3","5.0"
"MyCole Pruitt","TE","PIT","8","206","26","38","0","5","3","5","10.0","4.9"
"Grant Calcaterra","TE","PHI","16","743","46","68","0","3","3","3","34.8","4.7"
"Ja'Lynn Polk","WR","NE","15","436","29","45","0","8","3","8","20.7","4.7"
"Mo Alie-Cox","TE","IND","16","445","28","44","0","5","3","5","20.7","4.7"
"Darnell Washington","TE","PIT","16","562","35","53","0","4","3","4","26.0","4.6"
"Kylen Granson","TE","IND","15","379","25","40","0","7","3","7","17.5","4.6"
"Hayden Hurst","TE","LAC","7","161","23","39","0","8","5","8","7.3","4.5"
"Luke McCaffrey","WR","WAS","16","399","25","36","0","6","5","6","16.8","4.2"
"Payne Durham","TE","TB","15","376","25","38","0","3","2","3","15.9","4.2"
"Alec Ingold","RB","MIA","14","320","23","34","3","3","6","6","13.2","4.1"
"Brock Wright","TE","DET","16","555","35","51","0","3","2","3","22.0","4.0"
"Justin Watson","WR","KC","7","296","42","60","0","4","3","4","11.3","3.8"
"Drew Ogletree","TE","IND","16","407","25","40","0","3","2","3","14.8","3.6"
"Daniel Bellinger","TE","NYG","16","334","21","31","0","4","4","4","11.6","3.5"
"Terrace Marshall Jr.","WR","LV","5","119","24","34","0","5","3","5","4.1","3.4"
"Michael Mayer","TE","LV","10","419","42","61","0","7","4","7","13.5","3.2"
"Patrick Ricard","RB","BAL","16","403","25","39","0","1","0","1","12.8","3.2"
"Jonathan Mingo","WR","DAL","15","424","28","44","0","9","4","10","12.8","3.0"
"Mason Tipton","WR","NO","11","358","33","50","0","7","4","7","9.9","2.8"
"Jeremy Ruckert","TE","NYJ","16","362","23","36","0","7","5","7","10.0","2.8"
"Luke Farrell","TE","JAC","11","232","21","36","0","7","5","7","6.3","2.7"
"Xavier Hutchinson","WR","HOU","15","445","30","45","0","5","2","5","11.2","2.5"
"Drew Sample","TE","CIN","16","614","38","58","0","3","3","3","15.1","2.5"
"Treylon Burks","WR","TEN","5","147","29","48","1","5","4","7","3.5","2.4"
"Jahan Dotson","WR","PHI","16","610","38","56","0","4","2","4","13.5","2.2"
"Tucker Fisk","TE","LAC","8","180","23","36","0","4","4","4","3.9","2.2"
"Julian Hill","TE","MIA","15","471","31","47","0","4","3","4","10.0","2.1"
"Pharaoh Brown","TE","SEA","10","213","21","34","0","6","4","6","4.5","2.1"
"Michael Woods II","WR","CLE","5","304","61","83","0","6","2","6","6.5","2.1"
"Luke Musgrave","TE","GB","6","128","21","31","0","7","5","7","2.6","2.0"
"Jalin Hyatt","WR","NYG","15","328","22","33","0","5","2","5","6.2","1.9"
"Durham Smythe","TE","MIA","13","292","22","33","0","5","3","5","5.3","1.8"
"Zay Jones","WR","ARI","10","219","22","33","0","3","2","3","3.8","1.7"
"John Bates","TE","WAS","16","501","31","45","0","2","2","2","6.4","1.3"
"Davis Allen","TE","LAR","13","289","22","34","0","4","2","4","3.9","1.3"
"Charlie Woerner","TE","ATL","15","413","28","41","0","3","2","3","4.6","1.1"
"Geoff Swaim","TE","CLE","3","62","21","30","0","2","2","2","0.7","1.1"
"Brevin Jordan","TE","HOU","2","67","34","48","0","4","3","4","0.7","1.0"
"Tip Reiman","TE","ARI","16","421","26","41","0","2","1","2","3.7","0.9"
"Sam Howell","QB","SEA","1","24","24","41","4","0","63","63","0.2","0.8"
"Jack Stoll","TE","PHI","5","145","29","43","0","2","1","2","1.0","0.7"
"C.J. Uzomah","TE","PHI","2","44","22","33","0","0","0","0","0.0","0.0"
"Xavier Weaver","WR","ARI","1","41","41","71","0","2","0","2","0.0","0.0"
""
""
