"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Justin Jefferson","WR","MIN","9","488","54","95","0","14","7","14","40.5","8.3"
"Tyler Warren","TE","IND","8","441","55","87","0","12","8","13","36.1","8.2"
"Austin Hooper","TE","NE","7","201","29","44","0","6","4","6","16.4","8.2"
"Darnell Washington","TE","PIT","9","317","35","57","0","9","7","9","26.0","8.2"
"Xavier Worthy","WR","KC","8","397","50","79","1","10","7","11","32.0","8.1"
"Gunnar Helm","TE","TEN","8","303","38","60","0","10","8","10","24.5","8.1"
"Jonnu Smith","TE","PIT","9","254","28","46","3","9","9","12","20.4","8.0"
"Ricky Pearsall","WR","SF","5","253","51","75","0","9","7","10","20.3","8.0"
"Rome Odunze","WR","CHI","5","311","62","83","0","11","4","11","24.8","8.0"
"Olamide Zaccheaus","WR","CHI","8","311","39","54","0","9","5","9","24.8","8.0"
"Marquez Valdes-Scantling","WR","PIT","4","135","34","52","0","10","4","10","10.6","7.9"
"Calvin Austin III","WR","PIT","8","192","24","40","0","13","7","13","15.0","7.8"
"Charlie Kolar","TE","BAL","9","209","23","37","0","4","3","4","16.0","7.7"
"Brandin Cooks","WR","BUF","7","172","25","39","0","8","4","8","13.0","7.6"
"Kayshon Boutte","WR","NE","5","206","41","62","0","6","4","6","15.6","7.6"
"Jeremy McNichols","RB","WAS","8","176","22","36","15","7","22","23","13.4","7.6"
"Tre Harris","WR","LAC","8","272","34","52","1","8","7","9","20.3","7.5"
"Elijah Arroyo","TE","SEA","6","132","22","35","0","7","3","7","9.9","7.5"
"David Sills V","WR","ATL","9","370","41","64","0","8","4","8","27.7","7.5"
"Noah Fant","TE","CIN","7","176","25","36","0","9","6","9","13.1","7.4"
"Van Jefferson","WR","TEN","8","358","45","71","0","8","4","8","26.4","7.4"
"Roman Wilson","WR","PIT","6","132","22","37","0","8","3","8","9.6","7.3"
